26 44
#############################################
#############################################
#############################################
#######  ####################################
###### $ ####################################
#####   .####################################
#####    ####################################
######   ####################################
######   ####################################
###.     ####################################
######   ####################################
######                                    @##
######  #####################################
######  #####################################
######  #####################################
######  #####################################
######  #####################################
######$ #####################################
######  #####################################
#############################################
