35 4
##########################################
##########################################
##########################################
##########################################
##########################################
###############  #########################
############## $                      .###
##############   #########################
##############   #########################
##############   #########################
##############   #########################
##############   #########################
##############   #########################
##############   #########################
##############         .##################
##############            @###############
################$ ########################
################  ########################
##########################################
